[2022-09-15 20:32:59.714] [GIT  ] [/home/cmendoza] git diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/JavaScript/Matematicas_y_Estadistica/math.html • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c color.diff=false diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/JavaScript/Matematicas_y_Estadistica/math.html • bad revision '0000000000000000000000000000000000000000-' • 63 ms

[2022-09-15 21:16:43.898] [GIT  ] [/home/cmendoza] git diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/Project_Google/index.html • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c color.diff=false diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/Project_Google/index.html • bad revision '0000000000000000000000000000000000000000-' • 68 ms

[2022-09-15 21:33:26.016] [GIT  ] [/home/cmendoza] git diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/Frontend/WEBHYT/2. create_NewPass.html • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c color.diff=false diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/Frontend/WEBHYT/2. create_NewPass.html • bad revision '0000000000000000000000000000000000000000-' • 70 ms

[2022-09-15 21:47:08.377] [GIT  ] [/home/cmendoza] git diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/Frontend/WEBHYT/3. main_page.html • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c color.diff=false diff --no-ext-diff --minimal -U0 -M --diff-filter=M 0000000000000000000000000000000000000000- -- Projects/PersonalProjects/WEB/Frontend/WEBHYT/3. main_page.html • bad revision '0000000000000000000000000000000000000000-' • 55 ms

[2022-09-15 21:49:11.356] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 50 ms

[2022-09-15 21:58:39.698] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 262,262:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 262,262:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 53 ms

[2022-09-15 21:58:48.101] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 46 ms

[2022-09-15 21:59:01.949] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 261,261:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 67 ms

[2022-09-15 21:59:29.824] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 265,265:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 265,265:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 72 ms

[2022-09-15 21:59:48.944] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 266,266:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 266,266:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 82 ms

[2022-09-15 21:59:57.357] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 267,267:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 267,267:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 61 ms

[2022-09-15 22:00:04.041] [GIT  ] [/home/cmendoza] git log --format=%x3cr%x3e%x20%H -n3 -m -L 265,265:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • Command failed: /usr/bin/git -c core.quotepath=false -c color.ui=false -c log.showSignature=false log --format=%x3cr%x3e%x20%H -n3 -m -L 265,265:Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css • file Projects/PersonalProjects/WEB/Frontend/WEBHYT/1.2. style.css has only 258 lines • 64 ms

